time_s,i_pd_a,a_ref_m_s2
3.320000000e-02,3.017050371e-03,-4.921061055e-01
3.340000000e-02,3.016910199e-03,2.463642214e-01
3.360000000e-02,3.016773591e-03,9.792429402e-01
3.380000000e-02,3.016634442e-03,1.689896261e+00
3.400000000e-02,3.016505164e-03,2.362194834e+00
3.420000000e-02,3.016383681e-03,2.980879827e+00
3.440000000e-02,3.016278269e-03,3.531909249e+00
3.460000000e-02,3.016187022e-03,4.002776657e+00
3.480000000e-02,3.016108776e-03,4.382795001e+00
3.500000000e-02,3.016060549e-03,4.663339193e+00
3.520000000e-02,3.016024936e-03,4.838041857e+00
3.540000000e-02,3.016009098e-03,4.902937854e+00
3.560000000e-02,3.016022999e-03,4.856554270e+00
3.580000000e-02,3.016048818e-03,4.699943851e+00
3.600000000e-02,3.016102996e-03,4.436661107e+00
3.620000000e-02,3.016169866e-03,4.072681637e+00
3.640000000e-02,3.016256868e-03,3.616266506e+00
3.660000000e-02,3.016367781e-03,3.077774744e+00
3.680000000e-02,3.016479717e-03,2.469428235e+00
3.700000000e-02,3.016610669e-03,1.805034322e+00
3.720000000e-02,3.016743573e-03,1.099672429e+00
3.740000000e-02,3.016884179e-03,3.693518087e-01
3.760000000e-02,3.017027606e-03,-3.693518087e-01
3.780000000e-02,3.017168646e-03,-1.099672429e+00
3.800000000e-02,3.017305037e-03,-1.805034322e+00
3.820000000e-02,3.017431540e-03,-2.469428235e+00
3.840000000e-02,3.017555177e-03,-3.077774744e+00
3.860000000e-02,3.017660171e-03,-3.616266506e+00
3.880000000e-02,3.017747528e-03,-4.072681637e+00
3.900000000e-02,3.017812338e-03,-4.436661107e+00
3.920000000e-02,3.017866531e-03,-4.699943851e+00
3.940000000e-02,3.017896193e-03,-4.856554270e+00
3.960000000e-02,3.017904965e-03,-4.902937854e+00
3.980000000e-02,3.017892970e-03,-4.838041857e+00
4.000000000e-02,3.017854661e-03,-4.663339193e+00
4.020000000e-02,3.017801955e-03,-4.382795001e+00
4.040000000e-02,3.017732419e-03,-4.002776657e+00
4.060000000e-02,3.017639187e-03,-3.531909249e+00
4.080000000e-02,3.017533744e-03,-2.980879827e+00
4.100000000e-02,3.017412463e-03,-2.362194834e+00
4.120000000e-02,3.017284441e-03,-1.689896261e+00
4.140000000e-02,3.017139526e-03,-9.792429402e-01
4.160000000e-02,3.017007351e-03,-2.463642214e-01
4.180000000e-02,3.016861212e-03,4.921061055e-01
4.200000000e-02,3.016722264e-03,1.219407341e+00
4.220000000e-02,3.016586896e-03,1.919032285e+00
4.240000000e-02,3.016464298e-03,2.575101892e+00
4.260000000e-02,3.016345496e-03,3.172725673e+00
4.280000000e-02,3.016246763e-03,3.698339651e+00
4.300000000e-02,3.016160227e-03,4.140014225e+00
4.320000000e-02,3.016091311e-03,4.487724923e+00
4.340000000e-02,3.016048570e-03,4.733579924e+00
4.360000000e-02,3.016018412e-03,4.871999179e+00
4.380000000e-02,3.016013701e-03,4.899841053e+00
4.400000000e-02,3.016026393e-03,4.816473634e+00
4.420000000e-02,3.016064656e-03,4.623789069e+00
4.440000000e-02,3.016124614e-03,4.326160628e+00
4.460000000e-02,3.016199698e-03,3.930343436e+00
4.480000000e-02,3.016296819e-03,3.445321163e+00
4.500000000e-02,3.016404045e-03,2.882102122e+00
4.520000000e-02,3.016523311e-03,2.253469420e+00
4.540000000e-02,3.016656525e-03,1.573690826e+00
4.560000000e-02,3.016797193e-03,8.581949406e-01
4.580000000e-02,3.016937877e-03,1.232210252e-01
4.600000000e-02,3.017080668e-03,-6.145495775e-01
4.620000000e-02,3.017217694e-03,-1.338372049e+00
4.640000000e-02,3.017347127e-03,-2.031818146e+00
4.660000000e-02,3.017475010e-03,-2.679149060e+00
4.680000000e-02,3.017583289e-03,-3.265672640e+00
4.700000000e-02,3.017686237e-03,-3.778076846e+00
4.720000000e-02,3.017770449e-03,-4.204731891e+00
4.740000000e-02,3.017831492e-03,-4.535954195e+00
4.760000000e-02,3.017879968e-03,-4.764226167e+00
4.780000000e-02,3.017904019e-03,-4.884366829e+00
4.800000000e-02,3.017904593e-03,-4.893649408e+00
4.820000000e-02,3.017883501e-03,-4.791863222e+00
4.840000000e-02,3.017839272e-03,-4.581318462e+00
4.860000000e-02,3.017780336e-03,-4.266793759e+00
4.880000000e-02,3.017706383e-03,-3.855427727e+00
4.900000000e-02,3.017605094e-03,-3.356556938e+00
4.920000000e-02,3.017495017e-03,-2.781504020e+00
4.940000000e-02,3.017369598e-03,-2.143320667e+00
4.960000000e-02,3.017243048e-03,-1.456491413e+00
4.980000000e-02,3.017100814e-03,-7.366048868e-01
5.000000000e-02,3.016953575e-03,-7.205809520e-15
5.020000000e-02,3.016819850e-03,7.366048868e-01
5.040000000e-02,3.016677663e-03,1.456491413e+00
5.060000000e-02,3.016546371e-03,2.143320667e+00
5.080000000e-02,3.016427228e-03,2.781504020e+00
5.100000000e-02,3.016309465e-03,3.356556938e+00
5.120000000e-02,3.016214204e-03,3.855427727e+00
5.140000000e-02,3.016136005e-03,4.266793759e+00
5.160000000e-02,3.016073629e-03,4.581318462e+00
5.180000000e-02,3.016035738e-03,4.791863222e+00
5.200000000e-02,3.016015824e-03,4.893649408e+00
5.220000000e-02,3.016022100e-03,4.884366829e+00
5.240000000e-02,3.016045315e-03,4.764226167e+00
5.260000000e-02,3.016083950e-03,4.535954195e+00
5.280000000e-02,3.016148929e-03,4.204731891e+00
5.300000000e-02,3.016229871e-03,3.778076846e+00
5.320000000e-02,3.016325861e-03,3.265672640e+00
5.340000000e-02,3.016442385e-03,2.679149060e+00
5.360000000e-02,3.016567385e-03,2.031818146e+00
5.380000000e-02,3.016694726e-03,1.338372049e+00
5.400000000e-02,3.016841500e-03,6.145495775e-01
5.420000000e-02,3.016982230e-03,-1.232210252e-01
5.440000000e-02,3.017122139e-03,-8.581949406e-01
5.460000000e-02,3.017262915e-03,-1.573690826e+00
5.480000000e-02,3.017395029e-03,-2.253469420e+00
5.500000000e-02,3.017516791e-03,-2.882102122e+00
5.520000000e-02,3.017622141e-03,-3.445321163e+00
5.540000000e-02,3.017712861e-03,-3.930343436e+00
5.560000000e-02,3.017792827e-03,-4.326160628e+00
5.580000000e-02,3.017854289e-03,-4.623789069e+00
5.600000000e-02,3.017891621e-03,-4.816473634e+00
5.620000000e-02,3.017905615e-03,-4.899841053e+00
5.640000000e-02,3.017900656e-03,-4.871999179e+00
5.660000000e-02,3.017873893e-03,-4.733579924e+00
5.680000000e-02,3.017828129e-03,-4.487724923e+00
5.700000000e-02,3.017755773e-03,-4.140014225e+00
5.720000000e-02,3.017670089e-03,-3.698339651e+00
5.740000000e-02,3.017565312e-03,-3.172725673e+00
5.760000000e-02,3.017457777e-03,-2.575101892e+00
5.780000000e-02,3.017330979e-03,-1.919032285e+00
5.800000000e-02,3.017190977e-03,-1.219407341e+00
5.820000000e-02,3.017052200e-03,-4.921061055e-01
5.840000000e-02,3.016911330e-03,2.463642214e-01
5.860000000e-02,3.016769438e-03,9.792429402e-01
5.880000000e-02,3.016633000e-03,1.689896261e+00
5.900000000e-02,3.016500732e-03,2.362194834e+00
5.920000000e-02,3.016380892e-03,2.980879827e+00
5.940000000e-02,3.016274860e-03,3.531909249e+00
5.960000000e-02,3.016186867e-03,4.002776657e+00
5.980000000e-02,3.016110078e-03,4.382795001e+00
6.000000000e-02,3.016053265e-03,4.663339193e+00
6.020000000e-02,3.016025758e-03,4.838041857e+00
6.040000000e-02,3.016011578e-03,4.902937854e+00
6.060000000e-02,3.016020613e-03,4.856554270e+00
6.080000000e-02,3.016049639e-03,4.699943851e+00
6.100000000e-02,3.016104251e-03,4.436661107e+00
6.120000000e-02,3.016174655e-03,4.072681637e+00
6.140000000e-02,3.016257720e-03,3.616266506e+00
6.160000000e-02,3.016365116e-03,3.077774744e+00
6.180000000e-02,3.016483344e-03,2.469428235e+00
6.200000000e-02,3.016610157e-03,1.805034322e+00
6.220000000e-02,3.016746812e-03,1.099672429e+00
6.240000000e-02,3.016888286e-03,3.693518087e-01
6.260000000e-02,3.017030953e-03,-3.693518087e-01
6.280000000e-02,3.017167824e-03,-1.099672429e+00
6.300000000e-02,3.017305719e-03,-1.805034322e+00
6.320000000e-02,3.017437724e-03,-2.469428235e+00
6.340000000e-02,3.017553333e-03,-3.077774744e+00
6.360000000e-02,3.017654421e-03,-3.616266506e+00
6.380000000e-02,3.017743933e-03,-4.072681637e+00
6.400000000e-02,3.017814678e-03,-4.436661107e+00
6.420000000e-02,3.017862084e-03,-4.699943851e+00
6.440000000e-02,3.017893016e-03,-4.856554270e+00
6.460000000e-02,3.017900935e-03,-4.902937854e+00
6.480000000e-02,3.017893497e-03,-4.838041857e+00
6.500000000e-02,3.017863881e-03,-4.663339193e+00
6.520000000e-02,3.017801924e-03,-4.382795001e+00
6.540000000e-02,3.017727878e-03,-4.002776657e+00
6.560000000e-02,3.017638630e-03,-3.531909249e+00
6.580000000e-02,3.017535341e-03,-2.980879827e+00
6.600000000e-02,3.017415857e-03,-2.362194834e+00
6.620000000e-02,3.017282457e-03,-1.689896261e+00
6.640000000e-02,3.017143897e-03,-9.792429402e-01
6.660000000e-02,3.017003229e-03,-2.463642214e-01
6.680000000e-02,3.016863816e-03,4.921061055e-01
6.700000000e-02,3.016723504e-03,1.219407341e+00
6.720000000e-02,3.016582309e-03,1.919032285e+00
6.740000000e-02,3.016454519e-03,2.575101892e+00
6.760000000e-02,3.016348998e-03,3.172725673e+00
6.780000000e-02,3.016246221e-03,3.698339651e+00
6.800000000e-02,3.016161823e-03,4.140014225e+00
6.820000000e-02,3.016091450e-03,4.487724923e+00
6.840000000e-02,3.016041673e-03,4.733579924e+00
6.860000000e-02,3.016013127e-03,4.871999179e+00
6.880000000e-02,3.016013608e-03,4.899841053e+00
6.900000000e-02,3.016027865e-03,4.816473634e+00
6.920000000e-02,3.016066500e-03,4.623789069e+00
6.940000000e-02,3.016124087e-03,4.326160628e+00
6.960000000e-02,3.016192787e-03,3.930343436e+00
6.980000000e-02,3.016290961e-03,3.445321163e+00
7.000000000e-02,3.016406757e-03,2.882102122e+00
7.020000000e-02,3.016521870e-03,2.253469420e+00
7.040000000e-02,3.016657858e-03,1.573690826e+00
7.060000000e-02,3.016791583e-03,8.581949406e-01
7.080000000e-02,3.016932515e-03,1.232210252e-01
7.100000000e-02,3.017074764e-03,-6.145495775e-01
7.120000000e-02,3.017218159e-03,-1.338372049e+00
7.140000000e-02,3.017352582e-03,-2.031818146e+00
7.160000000e-02,3.017474731e-03,-2.679149060e+00
7.180000000e-02,3.017589565e-03,-3.265672640e+00
7.200000000e-02,3.017687601e-03,-3.778076846e+00
7.220000000e-02,3.017764761e-03,-4.204731891e+00
7.240000000e-02,3.017831105e-03,-4.535954195e+00
7.260000000e-02,3.017874048e-03,-4.764226167e+00
7.280000000e-02,3.017898704e-03,-4.884366829e+00
7.300000000e-02,3.017901292e-03,-4.893649408e+00
7.320000000e-02,3.017879921e-03,-4.791863222e+00
7.340000000e-02,3.017843658e-03,-4.581318462e+00
7.360000000e-02,3.017779375e-03,-4.266793759e+00
7.380000000e-02,3.017703702e-03,-3.855427727e+00
7.400000000e-02,3.017605760e-03,-3.356556938e+00
7.420000000e-02,3.017491964e-03,-2.781504020e+00
7.440000000e-02,3.017367676e-03,-2.143320667e+00
7.460000000e-02,3.017243342e-03,-1.456491413e+00
7.480000000e-02,3.017100768e-03,-7.366048868e-01
7.500000000e-02,3.016955280e-03,-4.564893388e-14
7.520000000e-02,3.016816177e-03,7.366048868e-01
7.540000000e-02,3.016674517e-03,1.456491413e+00
7.560000000e-02,3.016543194e-03,2.143320667e+00
7.580000000e-02,3.016423091e-03,2.781504020e+00
7.600000000e-02,3.016308349e-03,3.356556938e+00
7.620000000e-02,3.016219178e-03,3.855427727e+00
7.640000000e-02,3.016131154e-03,4.266793759e+00
7.660000000e-02,3.016076945e-03,4.581318462e+00
7.680000000e-02,3.016032065e-03,4.791863222e+00
7.700000000e-02,3.016015313e-03,4.893649408e+00
7.720000000e-02,3.016017529e-03,4.884366829e+00
7.740000000e-02,3.016042619e-03,4.764226167e+00
7.760000000e-02,3.016082632e-03,4.535954195e+00
7.780000000e-02,3.016149286e-03,4.204731891e+00
7.800000000e-02,3.016232289e-03,3.778076846e+00
7.820000000e-02,3.016328527e-03,3.265672640e+00
7.840000000e-02,3.016442369e-03,2.679149060e+00
7.860000000e-02,3.016568253e-03,2.031818146e+00
7.880000000e-02,3.016697608e-03,1.338372049e+00
7.900000000e-02,3.016839098e-03,6.145495775e-01
7.920000000e-02,3.016980479e-03,-1.232210252e-01
7.940000000e-02,3.017123316e-03,-8.581949406e-01
7.960000000e-02,3.017260002e-03,-1.573690826e+00
7.980000000e-02,3.017392053e-03,-2.253469420e+00
8.000000000e-02,3.017514946e-03,-2.882102122e+00
8.020000000e-02,3.017628014e-03,-3.445321163e+00
8.040000000e-02,3.017715682e-03,-3.930343436e+00
8.060000000e-02,3.017789123e-03,-4.326160628e+00
8.080000000e-02,3.017849144e-03,-4.623789069e+00
8.100000000e-02,3.017889297e-03,-4.816473634e+00
8.120000000e-02,3.017903027e-03,-4.899841053e+00
8.140000000e-02,3.017897758e-03,-4.871999179e+00
8.160000000e-02,3.017870034e-03,-4.733579924e+00
8.180000000e-02,3.017823651e-03,-4.487724923e+00
8.200000000e-02,3.017761677e-03,-4.140014225e+00
8.220000000e-02,3.017674056e-03,-3.698339651e+00
8.240000000e-02,3.017565560e-03,-3.172725673e+00
8.260000000e-02,3.017454042e-03,-2.575101892e+00
8.280000000e-02,3.017333552e-03,-1.919032285e+00
8.300000000e-02,3.017191659e-03,-1.219407341e+00
8.320000000e-02,3.017054059e-03,-4.921061055e-01
8.340000000e-02,3.016914554e-03,2.463642214e-01
8.360000000e-02,3.016767764e-03,9.792429402e-01
8.380000000e-02,3.016631373e-03,1.689896261e+00
8.400000000e-02,3.016503211e-03,2.362194834e+00
8.420000000e-02,3.016384363e-03,2.980879827e+00
8.440000000e-02,3.016276843e-03,3.531909249e+00
8.460000000e-02,3.016186619e-03,4.002776657e+00
8.480000000e-02,3.016111008e-03,4.382795001e+00
8.500000000e-02,3.016056194e-03,4.663339193e+00
8.520000000e-02,3.016029369e-03,4.838041857e+00
8.540000000e-02,3.016012198e-03,4.902937854e+00
8.560000000e-02,3.016021620e-03,4.856554270e+00
8.580000000e-02,3.016048926e-03,4.699943851e+00
8.600000000e-02,3.016100702e-03,4.436661107e+00
8.620000000e-02,3.016170269e-03,4.072681637e+00
8.640000000e-02,3.016262818e-03,3.616266506e+00
8.660000000e-02,3.016365255e-03,3.077774744e+00
8.680000000e-02,3.016485436e-03,2.469428235e+00
8.700000000e-02,3.016611428e-03,1.805034322e+00
8.720000000e-02,3.016745092e-03,1.099672429e+00
8.740000000e-02,3.016884597e-03,3.693518087e-01
8.760000000e-02,3.017031031e-03,-3.693518087e-01
8.780000000e-02,3.017171590e-03,-1.099672429e+00
8.800000000e-02,3.017306075e-03,-1.805034322e+00
8.820000000e-02,3.017436840e-03,-2.469428235e+00
8.840000000e-02,3.017550574e-03,-3.077774744e+00
8.860000000e-02,3.017656746e-03,-3.616266506e+00
8.880000000e-02,3.017741701e-03,-4.072681637e+00
8.900000000e-02,3.017815809e-03,-4.436661107e+00
8.920000000e-02,3.017868577e-03,-4.699943851e+00
8.940000000e-02,3.017899696e-03,-4.856554270e+00
8.960000000e-02,3.017904655e-03,-4.902937854e+00
8.980000000e-02,3.017889793e-03,-4.838041857e+00
9.000000000e-02,3.017857977e-03,-4.663339193e+00
9.020000000e-02,3.017806588e-03,-4.382795001e+00
9.040000000e-02,3.017728606e-03,-4.002776657e+00
9.060000000e-02,3.017640257e-03,-3.531909249e+00
9.080000000e-02,3.017532381e-03,-2.980879827e+00
9.100000000e-02,3.017416260e-03,-2.362194834e+00
9.120000000e-02,3.017284022e-03,-1.689896261e+00
9.140000000e-02,3.017143292e-03,-9.792429402e-01
9.160000000e-02,3.017007831e-03,-2.463642214e-01
9.180000000e-02,3.016865877e-03,4.921061055e-01
9.200000000e-02,3.016720033e-03,1.219407341e+00
9.220000000e-02,3.016588027e-03,1.919032285e+00
9.240000000e-02,3.016462159e-03,2.575101892e+00
9.260000000e-02,3.016348518e-03,3.172725673e+00
9.280000000e-02,3.016245400e-03,3.698339651e+00
9.300000000e-02,3.016159297e-03,4.140014225e+00
9.320000000e-02,3.016091838e-03,4.487724923e+00
9.340000000e-02,3.016044897e-03,4.733579924e+00
9.360000000e-02,3.016020442e-03,4.871999179e+00
9.380000000e-02,3.016018877e-03,4.899841053e+00
9.400000000e-02,3.016030531e-03,4.816473634e+00
9.420000000e-02,3.016069041e-03,4.623789069e+00
9.440000000e-02,3.016122305e-03,4.326160628e+00
9.460000000e-02,3.016198583e-03,3.930343436e+00
9.480000000e-02,3.016292759e-03,3.445321163e+00
9.500000000e-02,3.016397784e-03,2.882102122e+00
9.520000000e-02,3.016525264e-03,2.253469420e+00
9.540000000e-02,3.016655936e-03,1.573690826e+00
9.560000000e-02,3.016790343e-03,8.581949406e-01
9.580000000e-02,3.016934653e-03,1.232210252e-01
9.600000000e-02,3.017077879e-03,-6.145495775e-01
9.620000000e-02,3.017218965e-03,-1.338372049e+00
9.640000000e-02,3.017345949e-03,-2.031818146e+00
9.660000000e-02,3.017478853e-03,-2.679149060e+00
9.680000000e-02,3.017587938e-03,-3.265672640e+00
9.700000000e-02,3.017685865e-03,-3.778076846e+00
9.720000000e-02,3.017767148e-03,-4.204731891e+00
9.740000000e-02,3.017833677e-03,-4.535954195e+00
9.760000000e-02,3.017877008e-03,-4.764226167e+00
9.780000000e-02,3.017897510e-03,-4.884366829e+00
9.800000000e-02,3.017902315e-03,-4.893649408e+00
9.820000000e-02,3.017886135e-03,-4.791863222e+00
9.840000000e-02,3.017841039e-03,-4.581318462e+00
9.860000000e-02,3.017783095e-03,-4.266793759e+00
9.880000000e-02,3.017703702e-03,-3.855427727e+00
9.900000000e-02,3.017606488e-03,-3.356556938e+00
9.920000000e-02,3.017495993e-03,-2.781504020e+00
9.940000000e-02,3.017371101e-03,-2.143320667e+00
9.960000000e-02,3.017237779e-03,-1.456491413e+00
9.980000000e-02,3.017099311e-03,-7.366048868e-01
1.000000000e-01,3.016953823e-03,-1.441161904e-14
1.002000000e-01,3.016813341e-03,7.366048868e-01
1.004000000e-01,3.016674579e-03,1.456491413e+00
1.006000000e-01,3.016543504e-03,2.143320667e+00
1.008000000e-01,3.016419666e-03,2.781504020e+00
1.010000000e-01,3.016307574e-03,3.356556938e+00
1.012000000e-01,3.016216978e-03,3.855427727e+00
